Регионы;Культура;Образование и наука;Духовность;Творчество;Забота о питомцах;Туризм;Досуг;Внешняя мобильность;Локальная мобильность;Потребление;Карьера и материальный достаток;Безопасность;Здоровье;Экология;Дети;Семья;Патриотизм;Историческая память
Алтайский край;0,05;0,07;0,08;0,05;0,66;0,25;0,05;0,05;0,56;0,64;0,62;0,90;0,92;0,69;0,48;0,79;0,17;0,17
Амурская область;0,05;0,05;0,08;0,05;0,66;0,09;0,05;0,05;0,51;0,80;0,74;0,95;0,84;0,69;0,51;0,84;0,20;0,20
Архангельская область;0,05;0,10;0,08;0,26;0,66;0,37;0,11;0,05;0,52;0,82;0,79;0,92;0,86;0,69;0,51;0,79;0,22;0,22
Астраханская область;0,05;0,07;0,08;0,08;0,66;0,19;0,05;0,05;0,53;0,62;0,66;0,78;0,92;0,94;0,54;0,76;0,18;0,18
Белгородская область;0,21;0,12;0,08;0,45;0,66;0,09;0,10;0,05;0,54;0,73;0,78;0,71;0,91;0,69;0,45;0,79;0,20;0,20
Брянская область;0,05;0,14;0,08;0,12;0,66;0,09;0,19;0,05;0,54;0,71;0,67;0,79;0,91;0,57;0,46;0,77;0,21;0,21
Владимирская область;0,05;0,13;0,08;0,30;0,66;0,28;0,09;0,05;0,54;0,65;0,70;0,79;0,95;0,69;0,46;0,77;0,23;0,23
Волгоградская область;0,05;0,18;0,08;0,19;0,66;0,19;0,05;0,05;0,57;0,66;0,68;0,83;0,95;0,69;0,45;0,76;0,24;0,24
Вологодская область;0,05;0,15;0,08;0,20;0,66;0,30;0,19;0,05;0,52;0,65;0,72;0,85;0,88;0,82;0,50;0,77;0,23;0,23
Воронежская область;0,05;0,20;0,08;0,36;0,66;0,09;0,05;0,05;0,63;0,77;0,74;0,75;0,93;0,69;0,47;0,78;0,18;0,18
Еврейская автономная область;0,05;0,05;0,08;0,05;0,66;0,05;0,10;0,05;0,49;0,68;0,66;0,95;0,74;0,57;0,52;0,82;0,18;0,18
Забайкальский край;0,05;0,05;0,08;0,05;0,66;0,14;0,05;0,05;0,56;0,66;0,65;0,95;0,81;0,94;0,53;0,81;0,17;0,17
Ивановская область;0,05;0,12;0,08;0,60;0,66;0,14;0,05;0,05;0,52;0,69;0,68;0,82;0,89;0,69;0,49;0,78;0,18;0,18
Иркутская область;0,05;0,05;0,08;0,23;0,66;0,23;0,05;0,05;0,58;0,65;0,71;0,88;0,82;0,94;0,54;0,80;0,18;0,18
Кабардино-Балкарская Республика;0,05;0,05;0,08;0,05;0,66;0,25;0,05;0,05;0,50;0,72;0,59;0,69;0,95;0,57;0,52;0,74;0,17;0,17
Калининградская область;0,05;0,17;0,08;0,50;0,66;0,39;0,05;0,05;0,57;0,72;0,71;0,80;0,88;0,69;0,46;0,82;0,23;0,23
Калужская область;0,05;0,17;0,08;0,55;0,66;0,28;0,28;0,05;0,53;0,67;0,74;0,76;0,93;0,69;0,49;0,77;0,20;0,20
Камчатский край;0,05;0,05;0,08;0,05;0,66;0,19;0,08;0,05;0,50;0,83;0,88;0,95;0,77;0,57;0,54;0,85;0,18;0,18
Карачаево-Черкесская Республика;0,05;0,05;0,08;0,06;0,66;0,16;0,05;0,05;0,50;0,45;0,51;0,74;0,95;0,57;0,49;0,74;0,16;0,16
Кемеровская область;0,05;0,10;0,08;0,05;0,66;0,35;0,05;0,05;0,64;0,63;0,71;0,85;0,86;0,82;0,47;0,79;0,19;0,19
Кировская область;0,05;0,20;0,08;0,21;0,66;0,19;0,13;0,05;0,52;0,66;0,69;0,91;0,90;0,69;0,51;0,77;0,20;0,20
Костромская область;0,05;0,14;0,08;0,59;0,66;0,14;0,15;0,05;0,51;0,70;0,71;0,84;0,89;0,44;0,52;0,78;0,20;0,20
Краснодарский край;0,05;0,14;0,08;0,38;0,66;0,78;0,05;0,23;0,66;0,95;0,74;0,81;0,95;0,69;0,52;0,80;0,18;0,18
Красноярский край;0,05;0,05;0,08;0,48;0,66;0,25;0,05;0,19;0,61;0,72;0,74;0,91;0,85;0,94;0,50;0,79;0,20;0,20
