,,ЦМУТ,,,,,,,
,,Название файла.geojson,атрибуты,,,Геометрия,,Загрузка данных,
,,,service_id,service_name,capacity,,,osm tag,качество данных
,Этап 3,forest,,Лес,,,полигон,"landuse=forest
natural=wood","ничего нет
отмечены кроны вобще всех даже одиноких деревьев"
,,embankment,,Набережная,,,полигон,-,
,,beach,,Пляж,,,полигон,leisure=beach_resort,данных нет
,,oopt,,ООПТ,,,полигон,boundary=protected_area,не только природные
,,reserve,,Заповедник,,,полигон,leisure=nature_reserve,считается устаревшим
,,park,,Парк,,,полигон,leisure=park,все вместе
,,Botanical_garden,,Ботанический сад,,,полигон,garden:type = botanical,мало данных
,,emergency,39,Станция скорой медицинской помощи,,центроид,,emergency=ambulance_station,
,,trauma,40,Травматологический пункт,,центроид,,healthcare=trauma_centre,нет данных
,,polyclinic,28,"Поликлиника (+ ФАП, детская)",,центроид,,amenity=clinic,все амбулаторное лечение здесь и частное тоже
,,dentist,30,Стоматологическая клиника,,центроид,,amenity=dentist,
,,women_clinic,32,Женская консультация,,центроид,,-,искать в клиниках
,,Rehabilitation,33,Реабилитационный сервис,,центроид,,,искать в клиниках
,,mortuary,41,Морг,,центроид,,amenity=mortuary,
,,dispensary,42,Диспансер,,центроид,,,искать в клиниках
,,pharmacy,34,Аптека,,центроид,,amenity=pharmacy,
,,hospital,35,Больница (+ детская),,центроид,,amenity=hospital,
,,roddom,36,Роддом,,центроид,,healthcare=birthing_centre,не везде отмечены
,,sanatorium,143,Санаторий,,центроид,,leisure=resort,вместе с базами отдыха
,,circus,,Цирк,,центроид,,,забрать из театров
,,zoo,,Зоопарк,,,полигон,tourism=zoo,контактные зоопарки и кафе с животными тоже тут 
,,historic,113,Памятник,,,полигон,"historic=memorial
historic=monument",
,,Boilerhouse,,Котельная,,центроид,,,все вместе с электростанциями
,,Thermal_pp,,Теплоэлектроцентраль,,,полигон,,
,,nuclear_pp,,Атомная электростанция,,,полигон,power=plant,все вместе и котельные здесь же
,,hydroelectric_pp,,гидроэлектростанция,,,полигон,,
,,heat_pp,,Тепловая электростанция,,,полигон,industrial=heating_station,
,,substation,,Трансформаторная подстанция,,центроид,,power=substation,
,,Renewable,,"Возобновляемая электроэнергия (солнечная панель, ветрогенератор)",,центроид,,power=plant,все вместе и котельные здесь же
,,water_works,,Водозаборное сооружение,,центроид,,man_made=water_works,единичные случаи
,,pumping_station,,Насосная станция,,центроид,,man_made=pumping_station,единичные случаи
,,wastewater_plant,,Очистное сооружение,,,полигон,man_made=wastewater_plant,
,,cell_tower,,Вышка связи,,центроид,,man_made=communications_tower,нет данных
,,Gas_station,,Газораспределительная станция,,центроид,,man_made=gasometer,нет данных
,,orphanage,46,Детский дом-интернат,,центроид,,social_facility=group_home,попадаются дома престарелых
,,nursing_home,44,Дом престарелых,,центроид,,social_facility=nursing_home,нет данных
,,ambulatory_care,,Комплексный центр социального обслуживания населения,,центроид,,social_facility=ambulatory_care,нет данных
,,recruitment,45,Центр занятости населения,,центроид,,government=recruitment,
,,mfz,47,Многофункциональный центр предоставления государственных и муниципальных услуг,,центроид,,government=public_service,
,,register_office,,ЗАГС,,центроид,,government = register_office,
,,kindergarten,21,Детский сад,вручную,центроид,,amenity=kindergarten,
