source,target,value
1,3003,5.0
44,2769,1.0
45,1684,31.0
47,1684,117.0
48,1684,175.0
55,2477,21.0
57,2477,7.0
58,2477,17.0
59,2477,112.0
60,2477,5.0
66,2477,25.0
67,1128,30.0
69,3003,20.0
70,2258,11.0
72,379,109.0
73,663,679.0
75,1009,105.0
76,1619,7.0
78,1619,7.0
340,2477,1.0
381,380,325.0
381,997,49.0
382,998,236.0
383,998,181.0
386,1608,42.0
391,1598,9.0
393,661,42.0
554,997,149.0
554,2283,192.0
561,1619,62.0
562,1025,533.0
563,2769,6.0
564,1089,67.0
565,1088,132.0
566,1093,3.0
567,1093,14.0
570,1619,135.0
578,691,4.0
583,582,96.0
583,841,44.0
583,940,95.0
584,820,17.0
585,776,765.0
586,814,2.0
587,900,128.0
588,911,432.0
589,2618,251.0
590,2769,3.0
599,1959,242.0
602,796,389.0
605,691,2.0
606,820,56.0
608,2258,12.0
609,3018,42.0
610,2296,155.0
611,380,346.0
613,713,112.0
613,1963,468.0
614,2769,2.0
617,2769,4.0
619,2869,180.0
620,781,159.0
621,0,184.0
621,2309,236.0
623,2769,3.0
624,2769,51.0
632,637,79.0
632,661,2.0
633,661,93.0
634,637,104.0
635,637,143.0
636,658,666.0
638,637,99.0
639,637,169.0
641,1088,9.0
641,1959,31.0
641,3050,132.0
642,637,73.0
643,637,40.0
644,767,91.0
645,767,111.0
646,767,65.0
647,661,25.0
648,672,28.0
649,672,14.0
654,663,101.0
654,1357,95.0
654,1611,235.0
655,659,3.0
656,661,1.0
656,1128,101.0
662,663,435.0
664,658,689.0
664,776,217.0
665,661,137.0
666,661,26.0
666,672,31.0
667,661,50.0
668,672,162.0
669,661,163.0
670,672,144.0
671,658,119.0
671,672,170.0
674,661,47.0
675,1093,12.0
677,1093,3.0
678,661,7.0
678,1089,30.0
680,784,122.0
682,781,129.0
683,661,30.0
685,1089,82.0
686,2869,129.0
687,1088,79.0
687,2869,33.0
695,767,48.0
695,1089,2.0
696,736,63.0
697,736,20.0
698,736,65.0
699,725,204.0
700,2283,406.0
701,737,51.0
701,2296,23.0
702,2296,105.0
703,2299,97.0
704,767,90.0
705,2299,142.0
706,713,233.0
706,2283,27.0
707,713,222.0
709,725,223.0
709,784,47.0
710,691,26.0
712,713,161.0
714,758,92.0
715,784,329.0
716,776,641.0
717,713,361.0
718,2299,90.0
719,691,12.0
720,691,9.0
724,661,28.0
730,2283,278.0
731,737,100.0
732,725,86.0
732,2283,130.0
733,725,768.0
735,736,69.0
738,661,38.0
739,736,50.0
740,661,60.0
741,998,286.0
742,77,50.0
742,661,86.0
743,997,276.0
746,1619,52.0
747,2296,95.0
749,1598,2.0
749,1619,10.0
750,2296,122.0
751,1025,642.0
753,998,97.0
753,2283,78.0
755,2283,162.0
757,0,163.0
759,758,94.0
762,661,38.0
765,767,63.0
766,637,80.0
768,3050,181.0
769,1089,45.0
770,784,259.0
771,767,121.0
772,784,135.0
773,784,187.0
774,784,161.0
778,2866,242.0
779,776,380.0
779,1086,19.0
780,781,20.0
780,2866,207.0
782,781,127.0
783,781,92.0
785,2769,45.0
786,781,161.0
787,1089,20.0
787,2769,29.0
788,1089,49.0
789,2769,37.0
790,2769,62.0
793,2869,92.0
794,2869,148.0
795,796,140.0
795,2866,287.0
798,796,609.0
800,2866,143.0
802,781,94.0
803,2769,68.0
804,814,68.0
805,808,136.0
806,814,50.0
807,808,154.0
809,808,102.0
810,808,201.0
811,2309,605.0
812,808,151.0
813,826,269.0
815,781,45.0
815,820,64.0
816,2869,184.0
817,781,119.0
818,2769,18.0
819,796,462.0
822,826,215.0
823,808,25.0
823,826,144.0
824,826,150.0
825,826,362.0
827,926,173.0
828,900,145.0
829,2309,442.0
833,900,85.0
834,814,3.0
835,814,3.0
836,926,247.0
837,841,156.0
838,934,490.0
839,582,256.0
840,940,192.0
842,820,14.0
842,841,7.0
843,820,18.0
844,841,36.0
845,841,106.0
846,841,94.0
847,820,16.0
848,2769,10.0
851,1093,67.0
853,1128,219.0
854,3050,91.0
856,3050,191.0
875,900,72.0
875,926,75.0
876,1598,1.0
880,900,125.0
881,1598,1.0
882,808,100.0
882,926,155.0
885,820,12.0
886,820,46.0
887,2769,9.0
888,2769,7.0
889,814,5.0
892,1598,24.0
893,1598,22.0
894,1598,24.0
895,820,14.0
895,1598,9.0
896,1598,14.0
897,1598,8.0
898,1598,15.0
899,926,17.0
899,2618,152.0
901,911,76.0
901,2309,529.0
905,934,184.0
906,841,105.0
907,841,97.0
907,926,23.0
908,841,72.0
909,911,424.0
910,820,47.0
912,911,466.0
913,911,552.0
914,2769,4.0
915,2769,2.0
916,926,175.0
917,814,3.0
918,926,192.0
919,930,322.0
920,934,69.0
920,940,245.0
921,582,433.0
922,930,437.0
925,930,174.0
927,1475,675.0
928,930,345.0
928,1475,259.0
929,940,487.0
935,934,372.0
936,814,2.0
937,814,2.0
938,814,1.0
945,3018,56.0
947,1598,1.0
948,1598,1.0
949,1598,11.0
950,820,15.0
951,1598,16.0
953,2769,4.0
955,2769,10.0
956,2769,9.0
957,820,9.0
958,1619,52.0
959,1598,17.0
960,1598,22.0
961,1598,3.0
962,1598,2.0
963,1619,74.0
964,1598,13.0
965,820,28.0
966,1619,86.0
967,1598,2.0
968,1598,19.0
969,1598,22.0
970,820,21.0
971,1598,6.0
972,1598,15.0
973,1598,20.0
974,1598,20.0
975,1598,10.0
976,1598,13.0
977,1598,10.0
978,981,302.0
979,981,338.0
980,3092,715.0
982,3092,539.0
983,1009,259.0
984,1009,89.0
985,1009,86.0
986,997,270.0
987,1009,81.0
991,1611,721.0
992,997,318.0
992,1357,189.0
1011,1009,82.0
1014,1619,68.0
1015,1608,94.0
1016,71,118.0
1016,1606,76.0
1017,77,140.0
1019,1598,1.0
1020,1025,266.0
1021,1598,1.0
1022,1608,111.0
1023,1619,80.0
1024,1619,46.0
1026,1608,81.0
1027,997,259.0
1027,1025,52.0
1028,1598,1.0
1029,1598,1.0
1030,1598,5.0
1031,1598,4.0
1032,1598,6.0
1033,1598,4.0
1034,1598,2.0
1035,1598,3.0
1036,1598,2.0
1037,1598,2.0
1038,1598,5.0
1041,1598,6.0
1042,1598,4.0
1043,1598,6.0
1044,1598,2.0
1046,1608,92.0
1047,1598,4.0
1048,1598,3.0
1049,71,109.0
1049,379,42.0
1050,1598,1.0
1051,77,63.0
1051,1601,16.0
1051,1608,62.0
1053,1598,2.0
1055,2769,13.0
1056,1089,67.0
1059,1089,75.0
1060,1070,20.0
1061,1093,40.0
1062,1089,28.0
1064,855,594.0
1069,1070,23.0
1071,1070,117.0
1074,1086,451.0
1075,1073,70.0
1076,1089,51.0
1077,1959,202.0
1078,1088,129.0
1079,1093,42.0
1083,1088,130.0
1084,1088,173.0
1085,1086,488.0
1087,1086,246.0
1090,1089,149.0
1091,1088,144.0
1094,1093,91.0
1095,1959,166.0
1096,1088,127.0
1097,1088,122.0
1098,1598,2.0
1100,1598,6.0
1101,661,7.0
1102,77,14.0
1103,1262,1.0
1104,1129,270.0
1104,1138,107.0
1105,1128,15.0
1106,77,27.0
1109,1140,3.0
1115,2427,5.0
1116,2427,1.0
1121,3050,73.0
1122,3050,56.0
1123,1138,206.0
1124,1128,193.0
1125,1128,170.0
1125,1138,60.0
1126,1128,20.0
1127,1128,63.0
