,land_use_accessibility
0,12.6640625
1,13.59375
2,59.1875
3,41.53125
4,49.96875
5,73.125
6,67.875
7,81.375
8,67.25
9,63.78125
10,21.328125
11,23.5625
12,22.265625
13,22.421875
14,27.453125
15,31.96875
16,23.90625
17,24.078125
18,25.796875
19,25.78125
20,25.34375
21,23.0
22,27.296875
23,25.046875
24,26.5
25,26.171875
26,27.40625
27,28.5
28,27.140625
29,27.453125
30,23.84375
31,26.21875
32,24.703125
33,25.25
34,33.25
35,30.921875
36,21.59375
37,20.609375
38,25.53125
39,22.84375
40,16.6875
41,20.875
42,18.96875
43,16.046875
44,16.078125
45,18.1875
46,17.328125
47,18.1875
48,19.21875
49,22.625
50,22.296875
51,25.125
52,35.71875
53,30.453125
54,22.28125
55,17.390625
56,18.75
57,17.75
58,19.4375
59,19.828125
60,17.09375
61,19.46875
62,21.625
63,21.34375
64,19.46875
65,21.671875
66,17.765625
67,12.0
68,13.015625
69,15.5
70,15.78125
71,12.6875
72,14.0703125
73,10.96875
74,11.203125
75,12.390625
76,10.9296875
77,11.09375
78,11.359375
79,30.546875
80,45.125
81,113.9375
82,60.5625
83,92.5625
84,94.875
85,93.4375
86,82.375
87,82.5
88,93.75
89,70.25
90,70.4375
91,81.0
92,57.59375
93,57.6875
94,69.625
95,52.28125
96,50.6875
97,36.5
98,55.375
99,41.6875
100,101.6875
101,61.25
102,90.375
103,79.8125
104,69.6875
105,56.125
106,43.3125
107,36.25
108,52.25
109,44.84375
110,45.0625
111,60.6875
112,57.5625
113,89.25
114,85.625
115,76.0
116,69.0
117,43.8125
118,74.0
119,73.0
120,70.75
121,30.1875
122,60.0625
123,45.25
124,51.625
125,40.0
126,47.75
127,39.125
128,56.96875
129,49.25
130,41.625
131,33.75
132,53.65625
133,81.125
134,67.8125
135,54.21875
136,94.25
137,62.8125
138,80.1875
139,66.375
140,53.0625
141,38.65625
142,66.5
143,54.6875
144,44.5625
145,66.125
146,52.25
147,41.59375
148,60.25
149,51.375
150,39.84375
151,54.25
152,56.75
153,40.34375
154,54.375
155,48.59375
156,59.875
157,67.0
158,79.0625
159,70.875
160,49.6875
161,42.8125
162,59.65625
163,37.46875
164,57.78125
165,58.9375
166,39.78125
167,28.5
168,44.1875
169,48.125
170,41.0
171,27.828125
172,51.34375
173,26.359375
174,53.34375
175,39.46875
176,30.0
177,46.375
178,53.28125
179,42.09375
180,49.46875
181,46.0625
182,36.84375
183,42.125
184,56.875
185,50.09375
186,43.4375
187,47.0
188,45.125
189,46.40625
190,39.03125
191,50.4375
192,39.90625
193,36.9375
194,42.71875
195,56.25
196,96.875
197,84.375
198,73.625
199,62.6875
200,44.875
201,34.65625
202,36.8125
203,39.90625
204,38.75
205,32.84375
206,33.84375
207,39.0625
208,32.78125
209,32.25
210,32.28125
211,32.90625
212,32.15625
213,34.15625
214,30.859375
215,33.21875
216,32.15625
217,38.3125
218,34.125
219,32.34375
220,32.96875
221,31.015625
222,30.953125
223,30.21875
224,31.921875
225,37.53125
226,30.4375
227,30.421875
228,33.65625
229,31.59375
230,30.53125
231,31.65625
232,31.90625
233,32.09375
234,31.9375
235,33.4375
236,30.890625
237,29.46875
238,32.125
239,31.9375
240,31.75
241,31.71875
242,32.0625
243,31.0
244,30.703125
245,31.46875
246,33.375
247,32.0
248,26.9375
249,32.90625
250,30.140625
251,19.453125
252,32.1875
253,26.84375
254,21.515625
255,23.1875
256,26.71875
257,36.375
258,29.640625
259,29.984375
260,28.40625
261,26.25
262,33.625
263,29.859375
264,33.0625
265,51.75
266,81.125
267,58.4375
268,70.75
269,49.15625
270,72.0
271,61.71875
272,78.625
273,72.75
274,81.0625
275,83.0625
276,33.28125
277,46.96875
278,73.125
279,76.375
280,65.4375
281,54.5625
282,62.1875
283,27.6875
284,64.625
285,56.9375
286,47.0
287,37.78125
288,36.28125
289,45.875
290,55.46875
291,78.625
292,44.03125
293,31.53125
294,71.25
295,36.09375
296,48.78125
297,59.65625
298,54.40625
299,61.75
300,67.8125
301,30.109375
302,36.8125
303,37.875
304,52.75
305,33.8125
306,44.59375
307,46.375
308,41.625
309,27.734375
310,36.53125
311,43.09375
312,31.6875
313,35.0
314,33.125
315,28.75
316,28.59375
317,42.28125
318,40.75
319,26.125
320,43.96875
321,36.25
322,30.3125
323,34.90625
324,29.375
325,56.4375
326,35.0
327,23.5
328,17.828125
329,20.84375
330,23.90625
331,42.28125
332,11.9375
333,30.28125
334,29.671875
335,30.421875
336,30.203125
337,29.453125
338,31.640625
339,29.578125
340,29.1875
341,21.125
342,19.703125
343,20.1875
344,20.5
345,19.703125
346,20.1875
347,20.21875
348,20.390625
349,19.65625
350,19.40625
351,20.0625
352,18.71875
353,19.4375
354,22.21875
355,22.25
356,22.5
357,26.46875
358,23.53125
359,21.9375
360,23.515625
361,23.875
362,26.015625
363,23.84375
364,25.640625
365,33.6875
366,25.5625
367,24.625
368,30.4375
369,26.46875
370,25.984375
371,24.859375
372,25.125
373,25.046875
374,32.59375
375,18.265625
376,14.203125
377,12.53125
378,29.046875
379,15.234375
380,11.1796875
381,12.046875
382,11.734375
383,11.9140625
384,11.75
385,17.6875
386,17.875
387,19.890625
388,21.6875
389,19.78125
390,30.09375
391,13.1171875
392,20.4375
393,17.65625
394,19.75
395,34.75
396,35.875
397,27.25
398,28.53125
399,28.984375
400,57.125
401,36.0
402,34.0
403,32.09375
404,32.125
405,46.8125
406,64.125
407,43.4375
408,34.875
409,54.53125
410,49.5
411,35.875
412,54.46875
413,27.5
414,36.5625
415,36.96875
416,42.46875
417,42.375
418,54.34375
419,38.96875
420,45.625
421,39.8125
422,37.0
423,30.1875
424,32.125
425,40.0
426,33.0
427,38.625
428,48.0
429,32.40625
430,35.1875
431,51.71875
432,50.78125
433,49.96875
434,49.75
435,36.53125
436,21.375
437,67.8125
438,54.5625
439,52.28125
440,43.1875
441,37.8125
442,38.5
443,43.34375
444,61.3125
445,53.8125
446,56.5625
447,54.25
448,63.8125
449,23.703125
450,23.734375
451,21.71875
452,20.953125
453,23.5625
454,27.765625
455,25.3125
456,26.453125
457,27.625
458,30.84375
459,62.375
460,24.796875
461,23.1875
462,22.71875
463,24.546875
464,34.625
465,46.15625
466,37.75
467,65.75
468,66.6875
469,36.40625
470,42.875
471,60.0625
472,50.3125
473,45.625
474,27.609375
475,30.25
476,30.609375
477,36.96875
478,41.03125
479,27.796875
480,25.78125
481,36.53125
482,24.0
483,24.046875
484,25.59375
485,25.5
486,32.625
487,36.9375
488,25.078125
489,30.4375
