,animal_shelter,bakery,bank,bar,beauty,books,bus_station,bus_stop,cafe,cemetery,cinema,clothes,college,convenience,crematorium,dentist,dog_park,electronic,emergency,extra_education,farmland,fire_station,fuel,hairdresser,historic,hospital,hostel,hotel,household,kindergarten,lawyer,library,mall,mfz,monastery,mortuary,museum,orphanage,outpost,park,parking,pharmacy,pitch,playground,police,post_office,prison,recruitment,register_office,religion,reserve,restaurant,school,shop_pets,shop_sport,sports_centre,stadium,substation,subway,supermarket,swimming_pool,theme_park,train_building,train_station,university,veterinary,wastewater_plant
animal_shelter,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.004178272980501393,0.0,0.0,0.0,0.005319148936170213,0.0,0.002386634844868735,0.0,0.007462686567164179,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0064516129032258064,0.005434782608695652,0.0,0.01694915254237288,0.0,0.0,0.014084507042253521,0.003424657534246575,0.017543859649122806,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.004662004662004662,0.005263157894736842,0.002074688796680498,0.0028169014084507044,0.002277904328018223,0.0038022813688212928,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.014084507042253521,0.0,0.0,0.0,0.002109704641350211,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.05128205128205128,0.02857142857142857,0.0
bakery,0.0,0.1694915254237288,0.22310756972111553,0.18604651162790697,0.22026431718061673,0.08695652173913043,0.008264462809917356,0.10158311345646438,0.17222222222222222,0.0,0.0967741935483871,0.2838983050847458,0.05625,0.13617021276595745,0.0,0.17452830188679244,0.014814814814814815,0.21142857142857144,0.0,0.06293706293706294,0.0,0.014388489208633094,0.04247104247104247,0.1865079365079365,0.03076923076923077,0.011627906976744186,0.07692307692307693,0.07106598984771574,0.19230769230769232,0.10597826086956522,0.075,0.050955414012738856,0.1917808219178082,0.023809523809523808,0.0,0.0,0.06756756756756757,0.008064516129032258,0.14255765199161424,0.07394366197183098,0.09533468559837728,0.22077922077922077,0.1191919191919192,0.12237762237762238,0.11235955056179775,0.14285714285714285,0.0,0.0,0.016129032258064516,0.043010752688172046,0.0,0.17222222222222222,0.10344827586206896,0.13414634146341464,0.13194444444444445,0.06372549019607843,0.0364963503649635,0.11553030303030302,0.051094890510948905,0.15492957746478872,0.007936507936507936,0.0,0.007936507936507936,0.0,0.026490066225165563,0.034482758620689655,0.0
bank,0.005208333333333333,0.22310756972111553,0.3386243386243386,0.16033755274261605,0.23843416370106763,0.08866995073891626,0.0,0.14974619289340102,0.2544529262086514,0.0,0.024752475247524754,0.31690140845070425,0.08597285067873303,0.17475728155339806,0.0,0.20300751879699247,0.009708737864077669,0.15510204081632653,0.020202020202020204,0.08780487804878048,0.0,0.019230769230769232,0.0364741641337386,0.21311475409836064,0.009852216748768473,0.020833333333333332,0.0975609756097561,0.0888030888030888,0.13716814159292035,0.15738498789346247,0.13551401869158877,0.08755760368663594,0.08888888888888889,0.02040816326530612,0.0,0.0,0.07009345794392523,0.0,0.2125984251968504,0.15337423312883436,0.14985014985014986,0.26107226107226106,0.1488970588235294,0.1631321370309951,0.08032128514056225,0.20618556701030927,0.0,0.005291005291005291,0.02072538860103627,0.027131782945736434,0.0,0.2544529262086514,0.17320261437908496,0.10300429184549356,0.0684931506849315,0.09505703422053231,0.028985507246376812,0.17857142857142858,0.06435643564356436,0.19787234042553192,0.01020408163265306,0.0,0.005076142131979695,0.0,0.056074766355140186,0.05238095238095238,0.0
bar,0.0,0.18604651162790697,0.16033755274261605,0.2441860465116279,0.13953488372093023,0.06306306306306306,0.011235955056179775,0.059366754617414245,0.1746987951807229,0.0,0.04,0.12916666666666668,0.03787878787878788,0.07494646680942184,0.0,0.09045226130653267,0.0,0.11801242236024845,0.01020408163265306,0.05263157894736842,0.0,0.02830188679245283,0.02145922746781116,0.08097165991902834,0.009900990099009901,0.014285714285714285,0.07964601769911504,0.12578616352201258,0.06944444444444445,0.03591160220994475,0.10236220472440945,0.05555555555555555,0.10077519379844961,0.031914893617021274,0.0,0.0,0.13513513513513514,0.0,0.08456659619450317,0.07480314960629922,0.06829765545361875,0.10050251256281408,0.05668016194331984,0.07964601769911504,0.05063291139240506,0.10714285714285714,0.0,0.0,0.0,0.05194805194805195,0.0,0.1746987951807229,0.04065040650406504,0.047619047619047616,0.08264462809917356,0.06321839080459771,0.028037383177570093,0.06704980842911877,0.037037037037037035,0.08235294117647059,0.010638297872340425,0.0,0.0,0.0,0.0603448275862069,0.04424778761061947,0.0
beauty,0.0,0.22026431718061673,0.23843416370106763,0.13953488372093023,0.25157232704402516,0.09770114942528736,0.006172839506172839,0.1116751269035533,0.19948186528497408,0.0,0.029069767441860465,0.2981132075471698,0.05527638190954774,0.1710794297352342,0.0,0.19834710743801653,0.03488372093023256,0.16589861751152074,0.0,0.0903954802259887,0.0,0.011111111111111112,0.026402640264026403,0.2781954887218045,0.01744186046511628,0.018957345971563982,0.07734806629834254,0.11504424778761062,0.10194174757281553,0.16666666666666666,0.12698412698412698,0.04568527918781726,0.06435643564356436,0.017964071856287425,0.0,0.0,0.06417112299465241,0.006060606060606061,0.20824742268041238,0.09841269841269841,0.13576494427558258,0.25862068965517243,0.15087040618955513,0.1675213675213675,0.12206572769953052,0.18450184501845018,0.0,0.0,0.018292682926829267,0.008583690987124463,0.0,0.19948186528497408,0.10774410774410774,0.0966183574879227,0.0851063829787234,0.09322033898305085,0.0223463687150838,0.15173674588665448,0.04519774011299435,0.17920353982300885,0.012048192771084338,0.0,0.0,0.0,0.02617801047120419,0.04945054945054945,0.0
books,0.0,0.08695652173913043,0.08866995073891626,0.06306306306306306,0.09770114942528736,0.09375,0.02857142857142857,0.028846153846153848,0.07348242811501597,0.0,0.08695652173913043,0.12435233160621761,0.05063291139240506,0.03944315545243619,0.0,0.07236842105263158,0.02,0.13513513513513514,0.0,0.03125,0.0,0.0,0.016574585635359115,0.07575757575757576,0.02127659574468085,0.0,0.0625,0.02459016393442623,0.08695652173913043,0.05592105263157895,0.06172839506172839,0.039473684210526314,0.11392405063291139,0.04878048780487805,0.0,0.0,0.07462686567164178,0.0,0.04318181818181818,0.052884615384615384,0.028985507246376812,0.07563025210084033,0.04,0.03925233644859813,0.027522935779816515,0.060109289617486336,0.0,0.03125,0.0,0.009345794392523364,0.0,0.07348242811501597,0.07446808510638298,0.07526881720430108,0.1,0.06504065040650407,0.037037037037037035,0.043568464730290454,0.07407407407407407,0.057291666666666664,0.025,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
bus_station,0.0,0.008264462809917356,0.0,0.011235955056179775,0.006172839506172839,0.02857142857142857,0.0,0.0027816411682892906,0.006535947712418301,0.0,0.047619047619047616,0.0106951871657754,0.018518518518518517,0.002386634844868735,0.0,0.007462686567164179,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.07142857142857142,0.0,0.0,0.0,0.0,0.002325581395348837,0.010582010582010581,0.003115264797507788,0.0028169014084507044,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535947712418301,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.07142857142857142,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus_stop,0.004178272980501393,0.10158311345646438,0.14974619289340102,0.059366754617414245,0.1116751269035533,0.028846153846153848,0.0027816411682892906,0.3584379358437936,0.20971563981042654,0.006793478260869565,0.020833333333333332,0.15938303341902313,0.043478260869565216,0.27878103837471785,0.0,0.09844559585492228,0.019390581717451522,0.08422459893048129,0.0110803324099723,0.03159340659340659,0.006544502617801047,0.0136986301369863,0.09583858764186633,0.13383838383838384,0.016643550624133148,0.03480589022757698,0.025885558583106268,0.06719367588932806,0.06802721088435375,0.19194312796208532,0.03351206434316354,0.04514363885088919,0.0589041095890411,0.015341701534170154,0.0,0.004172461752433936,0.028532608695652172,0.004160887656033287,0.27111111111111114,0.13283208020050125,0.3739770867430442,0.27718040621266427,0.257360959651036,0.29136316337148804,0.0598404255319149,0.1371280724450194,0.0,0.001394700139470014,0.005547850208044383,0.05033112582781457,0.0,0.20971563981042654,0.12706480304955528,0.06368563685636856,0.03814713896457766,0.05974025974025974,0.01925722145804677,0.23879040667361837,0.03337969401947149,0.261271676300578,0.011142061281337047,0.001394700139470014,0.0027624309392265192,0.006906077348066298,0.030054644808743168,0.024623803009575923,0.0
cafe,0.0,0.17222222222222222,0.2544529262086514,0.1746987951807229,0.19948186528497408,0.07348242811501597,0.006535947712418301,0.20971563981042654,0.375,0.0,0.048859934853420196,0.2506393861892583,0.07250755287009064,0.2020033388981636,0.0,0.1387434554973822,0.01892744479495268,0.16034985422740525,0.012779552715654952,0.049689440993788817,0.0,0.031545741324921134,0.08056872037914692,0.2216624685138539,0.015873015873015872,0.02564102564102564,0.055900621118012424,0.1278409090909091,0.10714285714285714,0.1316793893129771,0.08814589665653495,0.06042296072507553,0.10429447852760736,0.019417475728155338,0.0,0.006514657980456026,0.08517350157728706,0.0032258064516129032,0.23479729729729729,0.1718377088305489,0.24975320829220138,0.26640926640926643,0.19162640901771336,0.21407624633431085,0.09090909090909091,0.15632754342431762,0.0,0.003289473684210526,0.009708737864077669,0.07344632768361582,0.009433962264150943,1.0,0.10232558139534884,0.11044776119402985,0.08722741433021806,0.10109289617486339,0.025,0.21855345911949686,0.054313099041533544,0.21723518850987433,0.00967741935483871,0.0,0.006430868167202572,0.0031746031746031746,0.05572755417956656,0.04024767801857585,0.003278688524590164
cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006793478260869565,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.005714285714285714,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050968399592252805,0.0,0.0,0.0018281535648994515,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.01818181818181818,0.0
